epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.971,1.38621,2.78254,1.48795,0.4642,0.37257,0.37594,0.17099,1.83897,2.47082,1.79964,0.00023654,0.00023654,0.00023654
2,906.469,1.31338,1.85661,1.4498,0.474,0.432,0.40224,0.18904,1.82948,2.24024,1.86521,0.000469842,0.000469842,0.000469842
3,1360.63,1.2633,1.70833,1.42088,0.57351,0.4438,0.47564,0.20842,1.9428,2.12454,1.92386,0.000698432,0.000698432,0.000698432
4,1816.41,1.24679,1.60942,1.396,0.67938,0.50003,0.54637,0.25548,1.79654,1.85642,1.82908,0.000692794,0.000692794,0.000692794
5,2281.04,1.21034,1.53705,1.37154,0.60301,0.48496,0.51887,0.22347,1.93888,1.92125,1.98471,0.000685726,0.000685726,0.000685726
6,2757.5,1.1893,1.45467,1.35287,0.68566,0.55722,0.5974,0.26973,1.88267,1.70515,1.88356,0.000678657,0.000678657,0.000678657
7,3200.42,1.18382,1.42466,1.34726,0.68729,0.50961,0.57636,0.27889,1.71401,1.73353,1.71929,0.000671588,0.000671588,0.000671588
8,4073.21,1.15751,1.36558,1.32768,0.7422,0.50312,0.57546,0.25269,1.89549,1.64208,1.86083,0.00066452,0.00066452,0.00066452
9,5188.27,1.15609,1.33923,1.3258,0.70269,0.55578,0.59045,0.29514,1.70213,1.62534,1.69563,0.000657451,0.000657451,0.000657451
10,6363.75,1.12698,1.29241,1.30432,0.71422,0.59297,0.62377,0.28319,1.81821,1.48875,1.80612,0.000650383,0.000650383,0.000650383
11,7597.45,1.11532,1.25355,1.2962,0.65871,0.57934,0.5962,0.28994,1.75852,1.66275,1.72854,0.000643314,0.000643314,0.000643314
12,8797.86,1.11519,1.23728,1.29154,0.75624,0.60328,0.64188,0.31453,1.7839,1.44305,1.78758,0.000636245,0.000636245,0.000636245
13,9701.3,1.09798,1.21373,1.28176,0.75062,0.59183,0.64555,0.33367,1.67467,1.44662,1.67171,0.000629177,0.000629177,0.000629177
