epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,10151.7,1.10247,1.1942,1.28043,0.73233,0.57348,0.64496,0.29963,1.77249,1.44165,1.73993,0.000622108,0.000622108,0.000622108
15,10601.6,1.0863,1.16909,1.26528,0.80383,0.58689,0.65675,0.3447,1.69543,1.37741,1.6873,0.00061504,0.00061504,0.00061504
16,11051.2,1.0719,1.14354,1.25754,0.81294,0.60686,0.67423,0.33847,1.73221,1.34074,1.7065,0.000607971,0.000607971,0.000607971
17,11501.7,1.06514,1.11101,1.25086,0.79184,0.60029,0.66417,0.31803,1.80699,1.32939,1.79551,0.000600902,0.000600902,0.000600902
18,11990.5,1.05885,1.1152,1.25327,0.76715,0.58528,0.65043,0.33612,1.73984,1.35664,1.71354,0.000593834,0.000593834,0.000593834
19,12496.9,1.05057,1.08118,1.24004,0.84069,0.61125,0.69976,0.35817,1.61988,1.25475,1.63432,0.000586765,0.000586765,0.000586765
20,13001.3,1.05714,1.07782,1.24217,0.75399,0.63299,0.67963,0.36217,1.56614,1.29349,1.57595,0.000579697,0.000579697,0.000579697
21,13486.1,1.03837,1.05318,1.23016,0.8274,0.59409,0.68344,0.35307,1.71188,1.21754,1.71007,0.000572628,0.000572628,0.000572628
22,13956.9,1.0337,1.03318,1.22649,0.76537,0.6445,0.69335,0.36281,1.68312,1.18515,1.67597,0.000565559,0.000565559,0.000565559
23,14594,1.02603,1.03066,1.21956,0.79827,0.62664,0.69796,0.35535,1.70046,1.18323,1.70044,0.000558491,0.000558491,0.000558491
24,15338.5,1.01716,1.01396,1.21756,0.74649,0.63886,0.68828,0.3808,1.57358,1.17726,1.58365,0.000551422,0.000551422,0.000551422
25,15937.6,1.00546,1.00206,1.21435,0.79402,0.62262,0.6834,0.35172,1.72177,1.22706,1.69863,0.000544354,0.000544354,0.000544354
26,16778.7,1.0108,0.99161,1.21239,0.81963,0.63275,0.70314,0.37562,1.62296,1.12653,1.63762,0.000537285,0.000537285,0.000537285
27,17332.1,1.00287,0.97843,1.20289,0.8417,0.64827,0.71148,0.39547,1.59893,1.11934,1.58917,0.000530216,0.000530216,0.000530216
28,17959.1,0.99552,0.96848,1.2039,0.84386,0.62671,0.69934,0.36656,1.66454,1.15647,1.64597,0.000523148,0.000523148,0.000523148
29,18597.4,0.99429,0.96564,1.20234,0.8486,0.62879,0.71174,0.40512,1.55468,1.09689,1.56399,0.000516079,0.000516079,0.000516079
30,19306.9,0.99059,0.94693,1.197,0.79748,0.66277,0.71416,0.38059,1.61557,1.11989,1.63721,0.000509011,0.000509011,0.000509011
31,19879.4,0.98375,0.93431,1.18914,0.82237,0.62747,0.70483,0.40352,1.53077,1.05142,1.55852,0.000501942,0.000501942,0.000501942
32,20387.8,0.96808,0.91607,1.18429,0.82444,0.67258,0.73288,0.41764,1.52997,1.04109,1.55738,0.000494873,0.000494873,0.000494873
33,20941.6,0.96834,0.91025,1.17759,0.86709,0.6173,0.72055,0.39574,1.58392,1.04984,1.59295,0.000487805,0.000487805,0.000487805
34,21391.9,0.94863,0.891,1.16922,0.84155,0.65146,0.73863,0.40566,1.53862,1.03434,1.5808,0.000480736,0.000480736,0.000480736
35,22597.2,0.96266,0.89995,1.17622,0.85629,0.6579,0.73189,0.42697,1.49685,1.01989,1.53471,0.000473668,0.000473668,0.000473668
36,23811.7,0.95885,0.88914,1.17212,0.83542,0.65764,0.72818,0.40547,1.53327,1.02669,1.58099,0.000466599,0.000466599,0.000466599
37,25046.5,0.956,0.90007,1.17405,0.84332,0.67401,0.74472,0.4223,1.51959,1.00191,1.54018,0.00045953,0.00045953,0.00045953
38,26307.1,0.94907,0.88041,1.1667,0.85637,0.65826,0.73684,0.41993,1.51959,1.00222,1.54234,0.000452462,0.000452462,0.000452462
39,27573.8,0.94256,0.87518,1.16436,0.83805,0.65405,0.7222,0.3977,1.55921,1.05131,1.57462,0.000445393,0.000445393,0.000445393
40,28822,0.9392,0.86663,1.16303,0.83681,0.68272,0.74352,0.43695,1.47811,1.00746,1.52058,0.000438325,0.000438325,0.000438325
41,30071.9,0.93933,0.8705,1.16258,0.85039,0.67295,0.73863,0.41784,1.52957,0.97339,1.55289,0.000431256,0.000431256,0.000431256
42,31339.4,0.93184,0.85055,1.15736,0.85374,0.68297,0.74612,0.43265,1.48348,0.97625,1.50579,0.000424187,0.000424187,0.000424187
43,32569,0.9282,0.8417,1.15492,0.86439,0.66952,0.74858,0.4303,1.46218,0.97129,1.54521,0.000417119,0.000417119,0.000417119
44,33825.8,0.92272,0.83843,1.15025,0.87102,0.66579,0.74687,0.43058,1.46656,0.97903,1.52025,0.00041005,0.00041005,0.00041005
45,35077,0.92824,0.84419,1.15309,0.8768,0.6715,0.74966,0.41857,1.59233,0.97628,1.59366,0.000402982,0.000402982,0.000402982
46,36314.2,0.924,0.84143,1.15425,0.85885,0.67507,0.74802,0.43354,1.49261,0.97256,1.52945,0.000395913,0.000395913,0.000395913
47,37569.5,0.91441,0.83286,1.1481,0.86688,0.64976,0.7457,0.41907,1.51856,0.99205,1.53514,0.000388844,0.000388844,0.000388844
