epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1248.77,1.38706,2.78737,1.48956,0.41885,0.40822,0.36551,0.16585,1.81224,2.40991,1.79149,0.00023654,0.00023654,0.00023654
2,2468.34,1.31214,1.85712,1.45181,0.49782,0.41589,0.40789,0.17419,1.88518,2.27519,1.87477,0.00045105,0.00045105,0.00045105
3,11800.5,1.25968,1.7051,1.41489,0.66591,0.44861,0.50657,0.239,1.86883,2.01719,1.85617,0.000641998,0.000641998,0.000641998
4,13062.1,1.23957,1.58753,1.39032,0.60894,0.49316,0.52745,0.25892,1.81295,1.94167,1.8201,0.000607971,0.000607971,0.000607971
5,14271.2,1.19585,1.50571,1.35924,0.6499,0.54014,0.57033,0.24536,1.92808,1.84354,1.88572,0.000572628,0.000572628,0.000572628
6,15487.4,1.17667,1.43265,1.34619,0.63873,0.58978,0.58849,0.27761,1.82429,1.72558,1.80213,0.000537285,0.000537285,0.000537285
7,16636.5,1.16486,1.38947,1.33417,0.67114,0.56919,0.62209,0.30722,1.69861,1.63683,1.69634,0.000501942,0.000501942,0.000501942
8,17776.6,1.12988,1.3217,1.30836,0.72474,0.53708,0.60393,0.27148,1.86616,1.61326,1.83439,0.000466599,0.000466599,0.000466599
9,18919.2,1.12498,1.28503,1.30243,0.81276,0.57171,0.65432,0.33232,1.6699,1.44704,1.69416,0.000431256,0.000431256,0.000431256
10,20070.9,1.09645,1.22964,1.28315,0.77435,0.56756,0.63209,0.30178,1.77366,1.49152,1.73025,0.000395913,0.000395913,0.000395913
11,21180.3,1.13818,1.17364,1.30427,0.76337,0.59277,0.65368,0.30935,1.80656,1.49853,1.77122,0.00036057,0.00036057,0.00036057
12,22287.3,1.10422,1.11127,1.28607,0.78379,0.59032,0.66535,0.35052,1.61917,1.35794,1.59914,0.000325227,0.000325227,0.000325227
13,38694.8,1.08211,1.07087,1.27134,0.80161,0.63078,0.69349,0.35769,1.66693,1.27854,1.64205,0.000289884,0.000289884,0.000289884
14,39942.7,1.06465,1.03362,1.25717,0.80558,0.60022,0.68978,0.3702,1.57935,1.25316,1.56757,0.000254541,0.000254541,0.000254541
15,41160.3,1.0549,1.0053,1.25026,0.81718,0.62101,0.69278,0.36659,1.60261,1.22446,1.58621,0.000219198,0.000219198,0.000219198
16,42365.6,1.03585,0.96859,1.22926,0.78835,0.63627,0.70504,0.38784,1.55037,1.18741,1.56286,0.000183855,0.000183855,0.000183855
17,43548.9,1.01407,0.9404,1.2202,0.78905,0.64101,0.70074,0.37313,1.58085,1.19044,1.59532,0.000148512,0.000148512,0.000148512
18,44733.9,0.9928,0.9146,1.20925,0.86041,0.62005,0.71515,0.40068,1.53787,1.12486,1.55493,0.000113169,0.000113169,0.000113169
19,45918.8,0.98035,0.89049,1.1977,0.81094,0.66108,0.71706,0.39637,1.54421,1.13027,1.56456,7.7826e-05,7.7826e-05,7.7826e-05
20,47105.3,0.97113,0.87249,1.1828,0.81289,0.6603,0.72676,0.40212,1.53351,1.10667,1.55642,4.2483e-05,4.2483e-05,4.2483e-05
